std,minfun,meanfun,skew,maxfreq,iq1,iq3,label,median,centroid,minfreq,meanfreq,peak,kurtosis,maxfun
2455.407317055994,-29262.0,-0.05998317194142655,2.2922429872367642,20085.0,-589.0,200.0,1,-8.0,8452723481.550705,-14631.0,-0.05998317194142655,437.97827113840344,5.7912004145905716,40170.0
2367.735337311453,-47234.0,0.07933937391536511,2.3901758911853133,23297.0,-893.0,797.0,1,-25.0,-2400296541.715652,-23617.0,0.07933937391536511,556.9162995594713,5.584657761816253,46594.0
1260.6533226975077,-24034.0,-5.12950784273079,2.841181941167169,11848.0,-395.0,369.0,1,-3.0,-845154956.8579668,-12017.0,-5.12950784273079,255.62733208955223,8.139201221933105,23696.0
2694.6388633523125,-40946.0,-12.552925592898323,2.511141049325238,21291.0,-675.0,399.0,1,-28.0,-6563488598.208628,-20473.0,-12.552925592898323,227.50257959905662,6.805444739633545,42582.0
2484.831354773268,-35700.0,0.160096629102412,2.3918643461608653,22878.0,-1013.0,809.0,1,-48.0,1527891579.4807851,-17850.0,0.160096629102412,227.46144721233688,5.147259805267076,45756.0
2323.5293143075924,-33818.0,0.14782160454155954,2.518811797273672,21359.0,-714.0,364.0,1,-25.0,-20459560203.145107,-16909.0,0.14782160454155954,177.82776349614394,6.60272643432414,42718.0
1641.9485934066497,-43762.0,-0.9856383074377787,2.8671064617863435,21085.0,-440.0,221.0,1,-15.0,-2477947492.216759,-21881.0,-0.9856383074377787,207.25075528700907,9.559673576392571,42170.0
748.2623262477686,-11836.0,-0.38820032671829624,1.7973692402788135,5071.0,-248.0,205.0,1,-4.0,453417529.7490728,-5918.0,-0.38820032671829624,212.97192642787996,3.1015759882126046,10142.0
1207.3457886674196,-46772.0,-1.1348670293139922,3.4480012901368444,18183.0,-176.0,327.0,1,12.0,1363255824.7881265,-23386.0,-1.1348670293139922,181.935630099728,14.953828411985814,36366.0
783.7137098435343,-16208.0,-0.5285456647197886,2.135599653769128,7096.0,-387.0,310.0,1,-33.0,1074333936.2567413,-8104.0,-0.5285456647197886,433.39591155611186,3.5434275284213017,14192.0
917.9306254175248,-13812.0,-1.2917401803535784,2.2986125076836825,8326.0,-410.0,357.0,1,-25.0,-1115712862.8438823,-6906.0,-1.2917401803535786,129.7476475620188,4.276970759408007,16652.0
